"int","prevalence","precision","cpe","sta.cpe","fsd","sta.fsd","mip","sta.mip","stability"
"ResCust+_tothh_perkm-",0.0953589976030437,29.1189013842908,0.0120304217487366,1,0.00219632223943567,1,-0.400227037006537,0,1
"CircVolt_kV-_tothh_pct-",0.192059333019122,30.9922958710627,0.0098830325877457,1,0.0212094135439642,1,-0.176964155317392,0,0
"Length_m-_tothh_perkm+",0.0542708370050694,32.0801863955354,0.0087529942138258,1,-0.0485005044342297,0,-0.493995619862979,0,1
"CircVolt_kV-_Ind_pct-",0.178134001502719,34.5970801261597,0.00641505056100522,1,0.0109145326379372,1,-0.182541982550354,0,0
"CircVolt_kV-_polexposure_pctl-",0.0874629308325612,34.8119785467028,0.00623132774827617,1,-0.0625703377379723,0,-0.216814018871144,0,0
"Com_pct-_Ind_pct-_tothh_pct-",0.0779637309669475,35.0763145414042,0.0060084722409095,1,0.0481012925773192,1,-0.148495681266458,0,0
"CircVolt_kV-_ResCust+",0.24071060864032,35.2028591629806,0.00590298735706751,1,0.0475887907163337,1,-0.210487226909099,0,1
"medyrbuilt-_ResCust+",0.100873295957766,35.3173901659242,0.00580817794340316,1,-0.00486511258825884,0,-0.207239050541841,0,1
"CircVolt_kV-_Com_pct-",0.159908573962427,35.4436142563148,0.00570440898375968,1,0.0336641245424323,1,-0.186140513835532,0,0
"CircVolt_kV-_Oth_pct+",0.120552839477364,35.4501566752619,0.00569905088996547,1,0.11417249058428,1,-0.183634537521737,0,1
"ResCust+_tothh_pct-",0.243613314452927,35.588396992189,0.00558630243230973,1,-0.0522630223825733,0,-0.199594874889044,0,1
"Ind_pct-_tothh_pct-",0.211540955913862,35.6186645422999,0.0055617347680772,1,0.0709584863256658,1,-0.153441486270955,0,1
"CircVolt_kV-_Res_pct+",0.162201052888663,35.643065033521,0.00554196011276975,1,0.0457647930350464,1,-0.194825765237877,0,0
"Com_pct-_tothh_ctot+_tothh_pct-",0.121572769127958,35.8192344698412,0.00539999974063754,1,0.00465585497004772,1,-0.176971225171515,0,0
"CircVolt_kV-_nlxwhite_pct-",0.0800227924897291,35.8412289102712,0.00538237563936894,1,0.156699923272273,1,-0.165976188635066,0,0
"Com_pct-_tothh_pct-",0.178247993008035,35.878846929263,0.00535228319650161,1,0.030399098634514,1,-0.173935716965604,0,0
"Res_pct-_tothh_pct-",0.0819800776385075,35.9139696430715,0.00532424458867853,1,0.0011862794577655,1,-0.166496163343111,0,0
"Oth_pct+_tothh_pct-",0.122767802547328,35.9206569812654,0.00531891236169946,1,0.0205405324382584,1,-0.17044967671152,0,0
"Com_pct+_tothh_pct-",0.0803467211976609,36.1614810230866,0.00512822152795689,1,-0.0407877689167502,0,-0.192893166920459,0,0
"Length_m_ctot-_tothh_pct-",0.11223983645208,36.1917157853439,0.00510446269705511,1,0.0127728059666605,1,-0.174158159531406,0,0
"polexposure_pctl-_tothh_pct-",0.107621042566464,36.3837590528248,0.00495448782122443,1,0.0329922112469982,1,-0.172653062329277,0,1
"Res_pct+_tothh_pct-",0.177861851435407,36.3909950111317,0.00494886833079078,1,0.0260967069666456,1,-0.174059009728207,0,1
"CircVolt_kV-_tothh_ctot+",0.305708255109414,36.6790985599725,0.00472695213857,1,0.0632949676052423,1,-0.189197666411115,0,1
"tothh_ctot+_tothh_pct-",0.313314245304843,36.883902138202,0.00457133658074449,1,-0.0239681859191838,0,-0.183629538264343,0,1
"Length_m_ctot+_tothh_pct-",0.155566306652234,37.4732277101661,0.00413316987901324,1,0.047470689618432,1,-0.156930475185817,0,0
"Length_m_ctot-_polenvt_pctl-",0.0519222707146543,38.0042793759942,0.00375012743816239,1,0.0123124827672259,1,-0.125289637921707,0,0
"CircVolt_kV-_lingisolation_pctl-",0.0804433849070241,38.3957845832661,0.00347461436124563,1,0.0583123304133548,1,-0.142813866936021,0,0
"ResCust+_tothh-",0.0836683298178471,38.4059483729344,0.00346753762533014,1,0.000918858678301326,1,-0.123402179293297,0,1
"hhdensity_hhsqkm+_medhhinc+",0.0398840561646626,38.8663476691745,0.00315090803960372,1,0.00932987350229864,1,-0.110165542916935,0,0
"polenvt_pctl-_tothh_ctot+",0.150576579659592,39.2941019106562,0.00286346544757277,1,0.013726787457591,1,-0.120330308702983,0,1
"inc50kbelow_pct-_ResCust+",0.0631037492670362,39.4193578678322,0.00278049203767416,1,0.00608127774049505,1,-0.097357520345593,0,0
"Agr_pct-_tothh_pct-",0.135426607406036,39.4978879496925,0.00272874317163252,1,0.0330245640283584,1,-0.157896099484342,0,1
"tothh-_tothh_ctot+",0.107418011633555,39.5338122898573,0.00270513958096164,1,0.027456566546932,1,-0.114248424626118,0,0
