"int","prevalence","precision","cpe","sta.cpe","fsd","sta.fsd","mip","sta.mip","stability"
"Length_m_ctot-_tothh_pct-",0.083164723465612,119.728993053864,0.00112069336618603,1,-0.0231991493266008,0,-0.0895136572989834,0,0
"ResCust-_tothh_pct-",0.0669738866618718,121.009127964359,0.00103159669499941,1,0.0160857362253104,1,-0.0788784743783175,0,0
"Com_pct+_ResCust-",0.0212949114317166,123.353010448804,0.000873276097106412,1,-0.129695834055878,0,-0.109913255614156,0,0
"Length_m_ctot-_ResCust+",0.120000020461348,130.77031647328,0.000409806000726931,1,-0.0265348982947451,0,-0.0956379695916416,0,0
"hhdensity_hhsqkm-_racediversity+",0.0392768513050988,130.894508501169,0.000402494688334976,1,0.158985229824542,1,-0.0657994276409095,0,0
"Length_m_ctot-_tothh+",0.0322862724199856,132.272845719411,0.000322275811725614,1,-0.0924535849009729,0,-0.10549032904116,0,0
"Agr_pct-_tothh_pct-",0.175959708337203,133.072603603484,0.000276494837019969,1,0.0372752531928238,1,-0.0626107697129523,0,1
"ResCust-_tothh_ctot+",0.115131560649226,133.75505687811,0.000237863335946997,1,0.0538719294317178,1,-0.0823423208487348,0,0
"Oth_pct-_tothh_pct-",0.224690834313783,134.744522116203,0.000182550447436869,1,0.0667898974976631,1,-0.0520943334570045,0,1
"ResCust+_tothh_pct-",0.316709726144584,134.839383376679,0.000177290335481084,1,-0.0151372724821863,0,-0.0649961272272801,0,1
"hhdensity_hhsqkm+_tothh_pct-",0.142733645512116,134.906976022353,0.000173546814270731,1,0.020824199865582,1,-0.0544727939159655,0,1
"Res_pct+_tothh_pct-",0.26357972521431,135.705406623243,0.000129610129988578,1,0.0352741174235705,1,-0.0489999641814647,0,1
"Com_pct-_tothh_pct-",0.27264480502243,136.107193044274,0.000107695992015877,1,0.0597556864559183,1,-0.054525726920776,0,1
"latinx_pct+_singleunit_pct+",0.0297754760969516,136.652918328821,7.81383166117422e-05,1,-0.00289484367841952,0,-0.0361632689275142,0,0
"tothh_ctot+_tothh_pct-",0.363085699050897,136.728642016971,7.40556658593849e-05,1,-0.012466138192347,0,-0.0603542679315439,0,1
"hhdensity_hhsqkm-_tothh_ctot+",0.123938552867993,136.898404199993,6.49193926576253e-05,1,0.0325413678911612,1,-0.0591134388018917,0,0
"Com_pct-_medyrbuilt-",0.129508613161157,137.393494355723,3.8404003405379e-05,1,0.0365328345059979,1,-0.0451194558962351,0,0
"ownerocc_pct+_tothh_ctot+",0.103794367379156,138.389681077025,-1.43714440214993e-05,0,-0.0393782459782375,0,-0.0482790326326796,0,1
"Com_pct-_Res_pct+_tothh_pct-",0.145516865508358,138.877375237847,-3.99311815841852e-05,0,0.0482329528233871,1,-0.0553848700705188,0,0
"nlxwhite_pct-_tothh_ctot+",0.193055543013707,139.90547235778,-9.322721162075e-05,0,-0.0105709444571487,0,-0.037385517228171,0,1
"ResCust+_tothh_ctot+_tothh_pct-",0.241144886899314,140.268703585566,-0.000111869490126537,0,-0.0393931161488943,0,-0.0702659334000888,0,1
"nlxwhite_pct-_Oth_pct-",0.121036329346406,140.407905723921,-0.000118988166775136,0,0.0817114035126365,1,-0.0109230916395386,0,0
"Length_m_ctot+_tothh_pct-",0.265692370503915,141.761197799229,-0.0001874631433465,0,0.0497180684820131,1,-0.0540442258804799,0,0
"CircVolt_kV+_nlxwhite_pct-_tothh_ctot+",0.104303446389098,142.215104293258,-0.000210137386242426,0,0.0919798999504158,1,-0.0734798375999794,0,0
"Com_pct-_racediversity+",0.123973423367437,142.848615537519,-0.000241541773307485,0,0.0432609823569301,1,-0.00618304944403381,0,0
"Com_pct+_ResCust+",0.123856537827824,143.090755685233,-0.000253471418683038,0,0.0460540839203651,1,-0.00560136048968385,0,1
"Agr_pct-_Com_pct-",0.214853808390777,143.117828875665,-0.00025480272988343,0,0.0916824043660167,1,-0.00430021722412111,0,0
"Com_pct-_Res_pct-",0.0784721460346452,143.225185028688,-0.000260076945000964,0,-0.0255954693053662,0,-0.00355037418384985,0,0
"CircVolt_kV+_tothh_pct-",0.249452442331924,143.345958345675,-0.00026600084539985,0,0.0820557530251915,1,-0.0520338698079863,0,1
"popsens_pctl+_tothh_ctot+_tothh_pct-",0.117788799133678,143.471128034868,-0.000272129825190426,0,0.0501632672077283,1,-0.0470480107270399,0,0
