,SCE FI with demo Variables
tothh,0.0367694642186884
racediversity,0.02974845834272333
black_pct,0.02388843998760778
asian_pct,0.020961254980078902
nlxwhite_pct,0.024574228268789015
latinx_pct,0.025766137706620142
inc50kbelow_pct,0.026065862250038214
inc150kplus_pct,0.020539009938208133
medhhinc,0.026598281990253266
edavgyrs,0.02462963178619969
polexposure_pctl,0.03620743837802522
polenvt_pctl,0.05440345228630717
popsens_pctl,0.03235254466836893
lingisolation_pctl,0.026867654108983407
hhdensity_hhsqkm,0.4833807663737917
ownerocc_pct,0.02562799898018263
MUD_pct,0.029331583841410283
unitsavg,0.029767659358291974
medyrbuilt,0.022520132535431777
