,Linear Model Coefs,Standard Errors
CircVolt_kV,1.7626189594929866,0.060830971886725815
Length_m,-0.3151860292534069,0.06276238238791697
ICA_pct,0.006251657859985793,0.05514449112485365
Length_m_ctot,-0.7156470164944791,0.06562116952243356
Res_pct,-0.6501152340394105,0.0969464758983947
Com_pct,0.06788064883708822,0.08358592956414154
tothh_Cpoly,-1.2273943589664282,0.06526677631846729
tothh_ctot,-0.2831268540399665,0.163920325333875
tothh_pct,2.069020176240532,0.0701607176588084
tothh_perkm,-0.06059663182897582,0.05061278594568313
ResCust,-0.16568253530474727,0.162307381877843
tothh,-0.05407970213169251,0.05541169959611141
racediversity,-0.13394842287295072,0.0776340410953419
black_pct,-0.04353127915334144,0.09954181226505508
asian_pct,-0.2556218832861619,0.20085283891937927
nlxwhite_pct,-0.45694795298682545,0.27432820785151385
latinx_pct,-0.4687390360423767,0.2398938670160278
inc50kbelow_pct,-0.09672811688906655,0.08265990736293527
inc150kplus_pct,-0.017144485735952085,0.1476282183914542
medhhinc,-0.1315791196081652,0.1502731509710895
edavgyrs,0.07817919287954374,0.11051029542507904
polexposure_pctl,-0.0902780165551064,0.06012666933853987
polenvt_pctl,0.2199332302818905,0.05375368715834189
popsens_pctl,-0.09101655944863433,0.07073965262132663
lingisolation_pctl,-0.021044129349809246,0.07680293890391847
hhdensity_hhsqkm,0.011794451644605361,0.0592901654589201
ownerocc_pct,0.03651786789289957,0.10695991759667454
MUD_pct,0.06828090772593408,0.12430427322006521
unitsavg,-0.028214484120609753,0.08883152778861352
medyrbuilt,0.09563097657570775,0.064038778875366
