,Linear Model Coefs,Standard Errors
CircVolt_kV,1.7619471711555685,0.06078741379783745
Length_m,-0.31514048509090387,0.0627596643097071
ICA_pct,0.006492898311023642,0.05511906210057094
Length_m_ctot,-0.7157977333998611,0.065619271200858
Res_pct,-0.6503835944565647,0.09692587225385253
Com_pct,0.06681751337899565,0.0835306536451166
tothh_Cpoly,-1.2270917536473172,0.06524864433455402
tothh_ctot,-0.28184638790611416,0.1638207625675095
tothh_pct,2.068156802639934,0.0701189765997698
tothh_perkm,-0.05588147028183709,0.049542779071453456
ResCust,-0.16716316415938753,0.1622316883803763
tothh,-0.05344863851264303,0.05515126647258727
racediversity,-0.13402418408602937,0.07763267402231476
black_pct,-0.04396067502849367,0.09952991404924053
asian_pct,-0.25623505876712294,0.2008495285493122
nlxwhite_pct,-0.45780128249827345,0.27431696172122005
latinx_pct,-0.4707069822715504,0.23976579148374022
inc50kbelow_pct,-0.09765732628037486,0.08253942155458371
inc150kplus_pct,-0.016881979876932848,0.1476258196145716
medhhinc,-0.13036024477342378,0.15025620374758802
edavgyrs,0.07577994043107382,0.1101595987816219
polexposure_pctl,-0.08971962667754038,0.060121070791945945
polenvt_pctl,0.219849310468357,0.05361762517494795
popsens_pctl,-0.0918872849315894,0.07065607759737698
lingisolation_pctl,-0.02172033034297956,0.07680159733325208
ownerocc_pct,0.0356667245657296,0.1069544483425372
MUD_pct,0.07102766598032297,0.12314104059427985
unitsavg,-0.02646749688686456,0.0884094503337732
medyrbuilt,0.09294907344368172,0.06234361066693526
