,Linear Model Coefs,Standard Errors
CircVolt_kV,0.8568895029038748,0.039500238590673274
Length_m,0.05071951086655428,0.03803865034055052
Length_m_ctot,-0.25963088526234557,0.043607306099569344
Res_pct,-0.22119229475241925,0.07348562047367167
Com_pct,0.09638341415454771,0.0646919752483966
tothh_Cpoly,-0.5871164936317114,0.04500313573005096
tothh_ctot,-0.14083389392578963,0.05629876498828394
tothh_pct,0.8165679256252444,0.04457583391309346
tothh_perkm,-0.06764500402620707,0.030314940625849274
ResCust,-0.004958201193690223,0.05207733778414257
tothh,-0.011702100099119601,0.034564209081460934
racediversity,-0.028695226306309676,0.04142983604846428
black_pct,-0.00876654745683584,0.07802919315566825
asian_pct,-0.04655513508991378,0.12223524773310394
nlxwhite_pct,-0.04801728738685436,0.18625421528496267
latinx_pct,-0.1449759964869815,0.19060236546176168
inc50kbelow_pct,0.013230889793711667,0.04958853126448888
inc150kplus_pct,0.024496662487778903,0.07102103017082688
medhhinc,-0.07809958380684096,0.07756321648543507
edavgyrs,-0.07767092941792132,0.06426860106384322
polexposure_pctl,-0.0887676960020917,0.034285369892863606
polenvt_pctl,0.046284990553067756,0.03253260296955576
popsens_pctl,0.0018897611001925014,0.043627258312688454
lingisolation_pctl,0.013249819750174193,0.04575176089493849
hhdensity_hhsqkm,0.05339474806512957,0.03999851899979762
ownerocc_pct,0.10615258938505567,0.06226701867498424
MUD_pct,0.04976038734863276,0.07533061295603231
unitsavg,0.06776968866928315,0.05237389588986852
medyrbuilt,0.14038724185675477,0.03649263997048705
