,Linear Model Coefs,Standard Errors
CircVolt_kV,0.8490824847917386,0.03922896484365171
Length_m,0.042542205619492506,0.037691087335430085
Length_m_ctot,-0.26555026239218227,0.04346795369137206
Res_pct,-0.23067380387691652,0.07336468516242982
Com_pct,0.09221987236631049,0.06466793088779613
tothh_Cpoly,-0.5777401384155015,0.04463807040673987
tothh_ctot,-0.1344682220302636,0.05599916093508942
tothh_pct,0.811264455551491,0.04450185516694275
tothh_perkm,-0.05521657429716757,0.02996443957863926
ResCust,-0.003851525311292312,0.052068190790961526
tothh,-0.009749212636021331,0.034043963254542065
racediversity,-0.02884736883039596,0.0414212024663027
black_pct,-0.011139354087902583,0.07799456513321312
asian_pct,-0.05498370945532291,0.12214196107153766
nlxwhite_pct,-0.05620793492862519,0.18615262542617697
latinx_pct,-0.15932610257273197,0.19037506164644177
inc50kbelow_pct,0.010032075974587015,0.04952413662658528
inc150kplus_pct,0.023297490234997442,0.07100531196424398
medhhinc,-0.07609738521272583,0.07753989968764831
edavgyrs,-0.07817925983439095,0.06424533781548562
polexposure_pctl,-0.08933844328092573,0.03426826803950641
polenvt_pctl,0.046942161565644264,0.03248126358491962
popsens_pctl,0.002670463031082198,0.043615924523903095
lingisolation_pctl,0.016508530512557316,0.045696114831300934
ownerocc_pct,0.10422958330044667,0.062194838338178474
MUD_pct,0.07687681502107371,0.07263965146722615
unitsavg,0.06929593504789501,0.05228928800718373
medyrbuilt,0.13316790556588104,0.03572562405039241
